ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,log_return,matches_gt_day
2630,AAPL.csv,2015-12-07,-0.630095,1.0,114.283798,2552.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.022745677297445414,0
2740,AAPL.csv,2015-12-09,-2.207557,1.0,111.713676,2630.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.021329375317547663,0
2853,AAPL.csv,2015-12-11,-2.573798,1.0,109.356125,2740.0,5,Adv-ALSTM,stocknet,0.5,std,0.12155255675315857,1,1.0,1,1,-0.006204080904540684,0
2929,AAPL.csv,2015-12-14,-0.618488,1.0,108.679771,2853.0,5,Adv-ALSTM,stocknet,0.5,std,0.07053355127573013,1,1.0,1,1,-0.017850556760889324,0
2985,AAPL.csv,2015-12-15,-1.769218,1.0,106.756989,2929.0,5,Adv-ALSTM,stocknet,0.5,std,0.1837797313928604,1,1.0,1,1,0.0076635549682216916,1
3058,AAPL.csv,2015-12-16,0.7693,1.0,107.57827,2985.0,5,Adv-ALSTM,stocknet,0.5,std,0.07053359597921371,1,1.0,1,1,-0.021424069612351482,0
3139,AAPL.csv,2015-12-17,-2.11962,1.0,105.298019,3058.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.027442474422564228,0
3215,AAPL.csv,2015-12-18,-2.706935,1.0,102.44767,3139.0,5,Adv-ALSTM,stocknet,0.5,std,0.12155253440141678,1,1.0,1,1,0.012186299248150782,1
3293,AAPL.csv,2015-12-21,1.226085,1.0,103.703766,3215.0,5,Adv-ALSTM,stocknet,0.5,std,0.2788817584514618,1,1.0,1,1,0.011855149176804348,1
3395,AAPL.csv,2015-12-23,1.286929,1.0,104.940506,3293.0,5,Adv-ALSTM,stocknet,0.5,std,0.36190471053123474,1,1.0,1,1,-0.005354420832693502,0
3467,AAPL.csv,2015-12-24,-0.534011,1.0,104.380112,3395.0,5,Adv-ALSTM,stocknet,0.5,std,0.41424664855003357,1,1.0,1,1,-0.011263732391542476,0
3487,AAPL.csv,2015-12-28,-1.120053,1.0,103.210999,3467.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.017814401359488537,1
3525,AAPL.csv,2015-12-29,1.797402,1.0,105.066116,3487.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.013144541951076161,0
3594,AAPL.csv,2015-12-30,-1.305853,1.0,103.694107,3525.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.01938163182452385,0
3651,AAPL.csv,2015-12-31,-1.919502,1.0,101.703697,3594.0,5,Adv-ALSTM,stocknet,0.5,std,0.07053352892398834,1,1.0,1,0,0.0,-1
